scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Aythya fuligula (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Fulica atra Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Rissa tridactyla (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Motacilla alba Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Columba palumbus Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Mareca strepera (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Corvus corone Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Alcedo atthis (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Branta canadensis (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Cygnus olor (J.F.Gmelin, 1789)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Larus fuscus Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Podiceps cristatus (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Chroicocephalus ridibundus (Linnaeus, 1766)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Gallinula chloropus (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Larus argentatus Pontoppidan, 1763",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Anas platyrhynchos Linnaeus, 1758",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Prunella modularis (Linnaeus, 1758)",52.681168,-2.409954,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Pica pica (Linnaeus, 1758)",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Fringilla coelebs Linnaeus, 1758",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Sturnus vulgaris Linnaeus, 1758",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Turdus iliacus Linnaeus, 1758",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Columba palumbus Linnaeus, 1758",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Emberiza schoeniclus (Linnaeus, 1758)",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
"Turdus merula Linnaeus, 1758",52.718403,-2.557547,2023-01-01,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
